id	author	title	translator	year	publisher	pub_place
1	Hugo, Victor	Hernani	Crosland, Camilla	2005	H. Fertig	New York
10	Ferran, Sébastien;;Rivière, François;;Micheli, Serge	Voyage into the deep : the saga of Jules Verne and Captain Nemo	NA	2004	Harry N. Abrams	New York
2	Backès, Michel;;Brun-Cosme, Nadine	No, I want daddy!	NA	2004	Clarion Books	New York
3	Crozon, Alain	What am I? : music!	NA	2004	Chronicle Books	San Francisco, CALIF
4	Crozon, Alain	Who am I? : Sports!	NA	2004	Chronicle Books	San Francisco, CALIF
5	Du Bellay, Joachim	The regrets	Slavitt, David R.	2004	Northwestern University Press	Evanston, ILL
6	Monénembo, Tierno	The oldest orphan	Nagem, Monique F.	2004	University of Nebraska Press	Lincoln, NEBR
7	Gibert, Bruno	The king is naked!	NA	2004	Clarion Books	New York
8	Schoch, Irène	The cat's vacation	NA	2004	Chronicle	San Francisco, CALIF
9	Morgenstern, Susie	Sixth grade	Rosner, Gill	2004	Viking	New York
11	Kerisel, Françoise	Diogenes' lantern	NA	2004	J. Paul Getty Museum	Los Angeles, CALIF
12	Gay, Michel	Zee is not scared	Mianowski, Marie	2004	Clarion Books	New York
13	Weil, Sylvie	My guardian angel	Rosner, Gill	2004	Arthur A. Levine Books	New York
14	Alembert, Jean le Rond d';;Rousseau, Jean-Jacques;;Bloom, Allan David;;Butterworth, Charles E.;;Kelly, Christopher	Letter to D'Alembert and writings for the theater	NA	2004	University Press of New England;;Dartmouth College	Hanover, N.H.;;Hanover, N.H.
15	Fatras, André;;Fontanel, Béatrice	The penguin : a funny bird	Uhlig, Elizabeth	2004	Charlesbridge	Watertown, MASS
16	Stolz, Joëlle	The shadows of Ghadames	Temerson, Catherine	2004	Delacorte Press	New York
17	Genet, Jean	The declared enemy : texts and interviews	Fort, Jeff	2004	Stanford University Press	Stanford, CALIF
18	Paulhan, Jean	Of chaff and wheat : writers, war, and treason	Rand, Richard	2004	University of Illinois Press	Urbana, ILL
19	Giono, Jean	The serpent of stars	Gladding, Jody	2004	Archipelago Books	New York
20	Chevillard, Éric	Palafox	Mason, Wyatt Alexander	2004	Archipelago Books	New York
21	Rancière, Jacques	The flesh of words : the politics of writing	Mandell, Charlotte	2004	Stanford University Press	Stanford, CALIF
22	Rolin, Dominique	Divine madman	Corts, Elaine L.	2005	P. Lang	New York
23	Schuhl, Jean-Jacques	Ingrid Caven	Pye, Michael	2004	City Lights Books	San Francisco, CALIF
24	Aït Djafer, Ismaël	Wail of the Arab beggars of the Casbah	Hirschman, Jack	2004	Curbstone Press	Willimantic, CONN
25	Zongo, Norbert	The parachute drop	Wise, Christopher	2004	Africa World Press	Trenton, N.J.
26	Crousaz, Jean-Pierre de;;Brack, O M.	A commentary on Mr. Pope's principles of morality, or Essay on man : a translation from the French	Johnson, Samuel	2004	Yale University Press	New Haven, CONN
27	Compagnon, Antoine	Literature, theory, and common sense	Cosman, Carol	2004	Princeton University Press	Princeton, N.J.
28	Khadra, Yasmina	The swallows of Kabul	Cullen, John	2004	Doubleday;;Nan A. Talese	New York;;New York
29	Pennac, Daniel	Dog	Adams, Sarah	2004	Candlewick Press	Cambridge, MASS
30	Duclos, Charles	Two French libertine novels : The story of Madame de Luz ; The confessions of the Comte de ***	Parmée, Douglas	2006	AMS Press	New York
31	Orban, Christine	One day my sister disappeared	Bolkonsky, Gwen	2004	Random House	New York
32	Proust, Marcel	In the shadow of young girls in flower	Grieve, James	2004	Viking	New York
33	NA	McGraw-Hill's French picture dictionary	NA	2004	McGraw-Hill	New York
34	Bénabou, Marcel	To write on Tamara	Rendall, Steven	2004	University of Nebraska Press	Lincoln, NEBR
35	Bujor, Flavia	The prophecy of the Stones	Coverdale, Linda	2004	Hyperion;;Miramax Books	New York;;New York
36	Dumas, Alexandre	Camille : the lady of the Camellias	Gosse, Edmund	2004	Signet Classics	New York
37	Claudel, Paul	Knowing the East	Lawler, James	2004	Princeton University Press	Princeton, N.J.
38	Graff, Laurent	Happy days	Coverdale, Linda	2004	Carroll & Graf	New York
39	Proust, Marcel	The Guermantes way	Treharne, Mark	2004	Viking	New York
40	Cheng, François	Green mountain, white cloud : a novel of love in the Ming Dynasty	Bent, Timothy	2004	St. Martin's Press	New York
41	Carrère, Emmanuel	I am alive and you are dead : a journey into the mind of Philip K. Dick	Bent, Timothy	2004	Henry Holt;;Metropolitan Books	New York;;New York
42	Leroux, Gaston	The phantom of the opera	Teixeira de Mattos, Alexander	2004	Dover Publications	Mineola, N.Y.
43	Proust, Marcel	Sodom and Gomorrah	Sturrock, John	2004	Viking	New York
44	Butor, Michel	Mobile	Howard, Richard	2004	Dalkey Archive Press	Normal, ILL
45	Zola, Émile	The kill	Goldhammer, Arthur	2004	Modern Library	New York
46	Gracq, Julien	The narrow waters	Kohn, Ingeborg M.	2004	Turtle Point Press	New York
47	Benmalek, Anouar	The lovers of Algeria	Kilmartin, Joanna	2004	Graywolf Press	St. Paul, MINN
48	Roché, Henri-Pierre	Two English girls and the continent	Bruno, Walter	2004	Cambridge Book Review Press	Cambridge, WIS
49	Savitzkaya, Eugène	Rules of solitude	Lombardo, Gian S.	2004	Quale Press	Florence, MASS
50	Diamond, Lynn	The past at our feet	Elder, Jo-Anne	2004	Guernica	Buffalo, N.Y.
51	Char, René	This smoke that carried us : selected poems	Dubroff, Susanne	2004	White Pine Press	Buffalo, N.Y.
52	Germain, Paul	Love and other poems by Haitian youths	NA	2004	Trilingual Press	Cambridge, MASS
53	Celan, Paul;;Joris, Pierre	Paul Celan : selections	NA	2005	University of California Press	Berkeley, CALIF
54	Serge, Victor	The case of Comrade Tulayev	Trask, Willard R.	2004	New York Review Books	New York
55	Hédelin, Pascale	Face-to-face with the duck	Uhlig, Elizabeth	2005	Charlesbridge	Watertown, MASS
56	NDiaye, Marie	Rosie Carpe	Black, Tamsin	2004	University of Nebraska Press	Lincoln, NEBR
57	Nothomb, Amélie	The book of proper names	Whiteside, Shaun	2004	St. Martin's Press	New York
58	Debray, Régis;;Xavier de C	Empire 2.0 : a modest proposal for a United States of the West	Rowe, Joseph	2004	North Atlantic Books	Berkeley, CALIF
59	Perec, Georges	Three by Perec : Which moped with chrome-plated handlebars at the back of the yard? ; The Exeter text: jewels, secrets, sex ; A gallery portrait	Monk, Ian	2004	D.R. Godine	Boston, MASS
60	Blanchot, Maurice	Lautréamont and Sade	Kendall, Michelle;;Kendall, Stuart	2004	Stanford University Press	Stanford, CALIF
61	Volodine, Antoine	Minor angels	Stump, Jordan	2004	University of Nebraska Press	Lincoln, NEBR
62	Makine, Andreï	The earth and sky of Jacques Dorme	Strachan, Geoffrey	2005	Arcade	New York
63	NA	Guillaume de Palerne : an English translation of the 12th century French verse romance	Sconduto, Leslie A.	2004	McFarland & Co.	Jefferson, N.C.
64	Simenon, Georges	Monsieur Monde vanishes	Stewart, Jean Margaret	2004	New York Review Books	New York
65	Malroux, Claire	Birds and bison : poems	Hacker, Marilyn	2004	Sheep Meadow Press	Riverdale-on-Hudson, N.Y.
66	Valckx, Catharina	Lizette's green sock	NA	2005	Clarion Books	New York
67	Van Cauwelaert, Didier	Out of my head	Polizzotti, Mark	2004	Other Press	New York
68	Pernot, Laurent	Rhetoric in antiquity	Higgins, W. E.	2005	Catholic University of America Press	Washington, D.C.
69	Moses, Emmanuel	Last news of Mr Nobody : selected poems	NA	2004	Handsel Books	New York
70	Le Clézio, Jean-Marie Gustave	Wandering star	Dickson, C.	2004	Curbstone Press	Willimantic, CONN
71	Le Sage, Alain René;;Brack, O M.;;Chilton, Leslie A.	The devil upon crutches	Smollett, Tobias	2005	University of Georgia Press	Athens, GA
72	Sand, George	The private secretary	Schwartz, Lucy M.	2004	P. Lang	New York
73	Bondoux, Anne-Laure	The destiny of Linus Hoppe	Temerson, Catherine	2005	Delacorte Press	New York
74	Feraoun, Mouloud	The poor man's son : Menrad, Kabyle schoolteacher	McNair, Lucy R.	2005	University of Virginia Press	Charlottesville, VA
75	Cendrars, Blaise	Moravagine	Brown, Alan	2004	New York Review Books	New York
76	Besson, Luc	Arthur and the Minimoys	Sowchek, Ellen	2005	Harper Collins Publishers	New York
77	Calame, Claude	Masks of authority : fiction and pragmatics in ancient Greek poetics	Burk, Peter Michael	2005	Cornell University Press	Ithaca, N.Y.
78	Marcel, Gabriel	A mystery of love : a drama in four acts;;The posthumous joke : a three act comedy	Hanley, Katharine Rose	2004	Marquette University Press	Milwaukee, WIS
79	Vallès, Jules	The child	Parmée, Douglas	2005	New York Review Books	New York
80	Starosta, Paul	The bee : friend of the flowers	Uhlig, Elizabeth	2005	Charlesbridge	Watertown, MASS
81	Naffah, Fouad Gabriel	Mind-God & the properties of nitrogen	Cole, Norma	2004	Post-Apollo Press	Sausalito, CALIF
82	Modiano, Patrick	Missing person	Weissbort, Daniel	2005	David R. Godine	Boston, MASS
83	Gervais, Bernadette;;Pittau, Francesco	In the country	NA	2005	Chronicle Books	San Francisco, CALIF
84	Deguy, Michel;;Derrida, Jacques	Recumbents : poems	Baldridge, Wilson	2005	Wesleyan University Press	Middletown, CONN
85	Montaigne, Michel de	Essays	Florio, John	2005	Prometheus Books	Amherst, N.Y.
86	Coquery-Vidrovitch, Catherine	The history of African cities south of the Sahara : from the origins to colonization	Baker, Mary	2005	Markus Wiener Publishers	Princeton, N.J.
87	Voltaire	Candide, or, Optimism	Raffel, Burton	2005	Yale University Press	New Haven, CONN
88	Zola, Émile	Theresa Raquin	Tancock, Leonard	2005	Thorndike Press	Waterville, ME
89	Morgenstern, Susie	It happened at school : two tales	Rosner, Gill	2005	Viking	New York
90	Flaubert, Gustave	A simple heart	Mandell, Charlotte	2004	Melville House Publishing	Hoboken, N.J.
100	Giono, Jean	The man who planted trees	NA	2005	Chelsea Green	White River Junction, VT
91	Halter, Marek	Zipporah, wife of Moses	NA	2005	Crown Publishers	New York
92	Glissant, Edouard	Monsieur Toussaint : a play	Dash, J. Michael	2005	Lynne Rienner	Boulder, COLO
93	Sade, Donatien Alphonse François de	The Marquis de Sade, The crimes of love : heroic and tragic tales. Preceded by an Essay on novels : a selection	Coward, David	2005	Oxford University Press	New York
94	Benoit, Pierre	Queen of Atlantis	Chambers, Arthur	2005	University of Nebraska Press	Lincoln, NEBR
95	Radiguet, Raymond	Count d'Orgel's ball	Cancogni, Annapaola	2005	New York Review Books	New York
96	Besson, Luc	Arthur and the forbidden city	Sowchek, Ellen	2005	Harper Collins Publishers	New York
97	Jubert, Hervé	Dance of the assassins	Bell, Anthea	2004	EOS	New York
98	Mauriac, François	Thérèse Desqueyroux	MacKenzie, Raymond N.	2005	Rowman and Littlefield	Lanham, MD
99	Bondoux, Anne-Laure	The second life of Linus Hoppe	Temerson, Catherine	2005	Delacorte Press	New York
101	Kochka	The boy who ate stars	Adams, Sarah	2006	Simon and Schuster	New York
102	Glissant, Édouard	The collected poems of Édouard Glissant	Humphries, Jeff;;Manolas, Melissa	2005	University of Minnesota Press	Minneapolis, MINN
103	Millet, Richard	The glory of the Pythres	Cumming, John	2005	Marlboro Press Northwestern University Press	Evanston, ILL
104	Caws, Mary Ann	The Yale anthology of twentieth-century French poetry	NA	2004	Yale University Press	New Haven, CONN
105	Grangé, Jean-Christophe	Empire of the wolves	Monk, Ian	2004	Ecco Press	New York
106	Jacq, Christian	War of the crowns : a novel of ancient Egypt	Dyson, Sue	2004	Atria Books	New York
107	Barbusse, Henri	Under fire	Buss, Robin	2004	Penguin	New York
108	Page, Martin	How I became stupid	Hunter, Adriana	2004	Penguin	New York
109	Bielski, Nella	The year is '42	Appignanesi, Lisa;;Berger, John	2004	Pantheon Books	New York
110	Verne, Jules	The mysterious island	NA	2004	Signet Classics	New York
111	Audouard, Antoine	Farewell, my only one	Cameron, Euan	2004	Houghton Mifflin	Boston, MASS
112	Wiesel, Elie	The time of the uprooted	Hapgood, David	2005	Alfred A. Knopf	New York
113	Molière	The imaginary invalid	Van Laun, Henri	2004	Dover Publications	Mineola, N.Y.
114	Balzac, Honoré de	Père Goriot	Marriage, Ellen	2004	Dover Publications	Mineola, N.Y.
115	Rambaud, Patrick	The retreat	Hobson, Will	2004	Atlantic Monthly Press	New York
116	Camus, Albert	The plague : The fall ; Exile and the kingdom  and selected essays	NA	2004	Everyman's Library	New York
117	Brasme, Anne-Sophie	Breathe	Mulholland, Rory	2004	St. Martin's Griffin	New York
118	Gary, Romain	White dog	NA	2004	University of Chicago Press	Chicago, ILL
119	Benaïssa, Slimane	The last night of a damned soul : a novel	Gross, Daniel;;Gross, Janice	2004	Grove Press	New York
120	Becker-Ho, Alice	The princes of jargon	McHale, John	2004	Edwin Mellen Press	Lewiston, N.B.
121	La Bretesche, Geneviève de	Scholastic first picture dictionary	NA	2005	Scholastic	New York
122	Stendhal	The red and the black : Stendhal ; translated by Horace B. Samuel.	Samuel, Horace Barnett	2004	Dover Publications	Mineola, N.Y.
123	Butor, Michel	Degrees	Howard, Richard	2004	Dalkey Archive Press	Normal, ILL
124	Toussaint, Jean-Philippe	Television	Stump, Jordan	2004	Dalkey Archive Press	Normal, ILL
125	Balzac, Honoré de	About Catherine De Medici	NA	2005	Howard Fertig	New York
126	David B.	Epileptic	NA	2005	Pantheon Books	New York
127	Pinget, Robert	Mahu, or, The material	Sheridan-Smith, Alan	2005	Dalkey Archive Press	Normal, ILL
128	Arcan, Nelly	Whore	Benderson, Bruce	2005	Black Cat	New York
129	Casanova, Pascale	The world republic of letters	DeBevoise, M. B.	2004	Harvard University Press	Cambridge, MASS
130	Choisy, François-Timoléon de;;Perrault, Charles;;L'Héritier, Marie-Jeanne	The story of the Marquise-Marquis de Banneville	Rendall, Steven	2004	Modern Language Association of America	New York
131	Flaubert, Gustave	Madame Bovary : contexts, critical reception	De Man, Paul;;Cohen, Margaret	2005	W.W. Norton	New York
132	Voltaire	Candide, or, Optimism	Constantine, Peter	2005	Modern Library	New York
133	Balzac, Honoré de	Père Goriot	Reed, Henry	2004	Signet Classics	New York
134	Stendhal	Two stories : Vanina Vanini ; The Abbess of Castro	Appelbaum, Stanley	2005	Dover Publications	Mineola, N.Y.
135	Guidoux, Valérie	Little bees	NA	2005	Gareth Stevens	Milwaukee, WIS
136	Jonas, Anne	Little elephants	NA	2005	Gareth Stevens	Milwaukee, WIS
137	Chottin, Ariane	Little foxes	NA	2005	Gareth Stevens	Milwaukee, WIS
138	Leroux, Gaston	The mystery of the yellow room	NA	2004	Thorndike Press	Waterville, ME
139	Montardre, Hélène	Little wolves	Castille, Muriel	2005	Gareth Stevens	Milwaukee, WIS
140	Royer, Anne	Little marmots	Castille, Muriel	2005	Gareth Stevens	Milwaukee, WIS
141	Verne, Jules	Journey to the center of the earth	NA	2005	Dover Publications	Mineola, N.Y.
142	Bédier, Joseph	The romance of Tristan and Iseult	Belloc, Hilaire	2004	Dover Publications	Mineola, N.Y.
143	Dai, Sijie	Mr. Muo's travelling couch	Rilke, Ina	2005	Alfred A. Knopf	New York
144	Marie, Christian	Little giraffes	Lantier, Pat	2005	Gareth Stevens	Milwaukee, WIS
145	Costa-Prades, Bernadette	Little gorillas	Castille, Muriel	2005	Gareth Stevens	Milwaukee, WIS
146	Chottin, Ariane	Little leopards	NA	2005	Gareth Stevens	Milwaukee, WIS
147	Nedjma	The almond	Hunter, C. Jane	2005	Grove Press	New York
148	Pavloff, Franck	Brown morning	Mulhern, Chris	2004	University of Wisconsin Press	Madison, WIS
149	Sfar, Joann	The rabbi's cat	NA	2005	Pantheon Books	New York
150	Gavalda, Anna	Someone I loved	Evans, Catherine	2005	Riverhead Books	New York
151	Dongala, Emmanuel	Johnny mad dog	Ascher, Maria Louise	2005	Farrar Straus Giroux	New York
152	Salvayre, Lydie	The lecture	Coverdale, Linda	2005	Dalkey Archive Press	Normal, ILL
153	Dumas, Alexandre	The Count of Monte Cristo	NA	2005	Signet Classics	New York
154	Jonas, Anne	Little penguins	NA	2006	Gareth Stevens	Milwaukee, WIS
155	Guidoux, Valérie	Little polar bears	NA	2006	Gareth Stevens	Milwaukee, WIS
156	Guidoux, Valérie	Little dolphins	NA	2006	Gareth Stevens	Milwaukee, WIS
157	Rennert, Violette	Little lions	NA	2006	Gareth Stevens	Milwaukee, WIS
158	Marie, Christian	Little beavers	NA	2006	Gareth Stevens	Milwaukee, WIS
159	Barbé-Julien, Colette	Little hippopotamuses	NA	2006	Gareth Stevens	Milwaukee, WIS
160	Guidoux, Valérie	Little zebras	NA	2006	Gareth Stevens	Milwaukee, WIS
161	Rennert, Violette	Little whales	NA	2006	Gareth Stevens	Milwaukee, WIS
162	Poujol Oriol, Paulette	Vale of tears : a novel from Haiti	Schaefer, Dolores A.	2006	Ibex	Bethesda, MD
163	Daumal, René	Le contre-ciel	Knight, Kelton W.	2005	Overlook Press	New York
164	La Rochefoucauld, François de	La Rochefoucauld maxims : a new English translation	Stack, Edward M.	2005	Vantage Press	New York
165	David, Carole	Unholy stories : Monster ; M ; If only ; Maiden name ; Island ; A mother up in arms ; Corridor to eternity ; An unholy story ; Monsieur George ; Female ; Grotto ; Corinne Gilbert's daughter	Alleyn, Nora	2005	Guernica	Buffalo, N.Y.
166	Chouaki, Aziz	The star of Algiers	Schwartz, Ros;;Norman, Lulu	2005	Graywolf Press	St. Paul, MINN
167	Hétu, Richard	The lost guide : the man behind the Lewis and Clark Expedition	Zagolin, Bianca	2004	East Village Press	New York
168	Moreau, Thérèse	The great book of secret recipes	Moreau, Thérèse;;Reno, Christine McArdle	2005	University Press of the South	New Orleans, LA
169	Thierry, Camille;;Amelinckx, Frans C.;;Waggoner, May Rush Gwin	Les vagabondes : poésies américaines	NA	2004	Tintamarre	Shreveport, LA
170	Minne, Brigitte	I love	NA	2005	Kane/Miller Book Publishers	La Jolla, CALIF
171	Foucault, Michel	Death and the labyrinth : the world of Raymond Roussel	Ruas, Charles	2004	Continuum	New York
172	Daumal, René	Mount Analogue : a tale of non-Euclidean and symbolically authentic mountaineering adventures	Cosman, Carol	2004	Overlook Press	Woodstock, N.Y.
173	Sand, George	The Black City	Kover, Tina A.	2004	Carroll & Graf	New York
174	Saint-Exupéry, Antoine de	The little prince	Howard, Richard	2005	Thorndike Press	Waterville, ME
175	Weil, Simone;;Bespaloff, Rachel	War and the Iliad : The Iliad, or The poem of force ; On the Iliad	McCarthy, Mary	2005	New York Review Books	New York
176	Maulpoix, Jean-Michel	A matter of blue : poems	Cornelio, Dawn M.	2005	BOA Editions	Rochester, N.Y.
177	Nicolotti, Muriel	Kuntai : a Masai child	NA	2005	Blackbirch Press	Detroit, MICH
178	Gailly, Christian	Red haze	Evenson, Brian;;Beus, David	2005	University of Nebraska Press	Lincoln, NEBR
179	Kehew, Robert	Lark in the morning : the verses of the troubadours	Pound, Ezra;;Kehew, Robert;;Snodgrass, W. D.	2005	University of Chicago Press	Chicago, ILL
180	Beckermann, Ruth;;Friedman, Carl;;Honigmann, Barbara;;Sereni, Clara;;Ulickaja, Ljudmila Evgen'evna;;Amar, Marlène;;Roffé, Reina;;Wandor, Michelene;;Malino, Frances;;Nolden, Thomas	Voices of the diaspora - Jewish women writing in contemporary Europe : On the edge of the world ; Exotic birds ; Beyond the bridges ;  Jews ; March 1953 ; Holy fire ; On my great-grandfather, my grandfather, my father, and me ; Song of the Jewish princess	NA	2005	Northwestern University Press	Evanston, ILL
181	Desnos, Robert	The voice of Robert Desnos : selected poems	Kulik, William T.	2004	Sheep Meadow Press	Riverdale-on-Hudson, N.Y.
182	Artaud, Antonin;;Breton, André;;Césaire, Aimé;;Csoóri, Sándor;;Hierro, José;;Holan, Vladimír;;Neruda, Pablo;;Rimbaud, Arthur;;Bador, Bernard;;Bollobás, Enikö;;Juhász, Ferenc;;Radnóti, Miklós;;Vellejo, César	Conductors of the pit (poetry written in extremis in translation) : The drunken boat ; Pablo Neruda: thirteen poems from Residence on Earth ; José Hierro: two poems ; César Vellejo: four prose poems ; A man and a woman absolutely white ; Aimé Césaire: three poems ; Bernard Bador: ten poems from Sea urchin harakiri ; Miklós Radnóti: six poems ; The biography of a woman ; The visitor's memories ; A night with Hamlet  Antonin Artaud: seven works	Eshleman, Clayton	2005	Soft Skull Press	Brooklyn, N.Y.
183	Federman, Raymond	My body in nine parts : with three supplements & illustrations	NA	2005	Starcherone Books	Buffalo, N.Y.
184	Joubert, Joseph	The notebooks of Joseph Joubert : a selection	Auster, Paul	2005	New York Review Books	New York
185	Mallarmé, Stéphane	A tomb for Anatole	Auster, Paul	2005	New Directions	New York
186	Simenon, Georges	Tropic moon	Romano, Marc	2005	New York Review Books	New York
187	Cazenave, Odile Marie	Afrique sur Seine : a new generation of African writers in Paris	NA	2005	Lexington Books	Lanham, MD
188	Mauriac, François	Vipers' tangle	NA	2005	Loyola Press	Chicago, ILL
189	Philippo, Sophie	Meet the woolly mammoth	NA	2005	Two-Can	Minnetonka, MINN
190	Jolivet, Joëlle;;Jaffé, Laura	Almost everything	Siegel, Alexis	2005	Roaring Brook Press	New Milford, CONN
191	Waberi, Abdourahman A.	The land without shadows	Garane, Jeanne	2005	University of Virginia Press	Charlottesville, VA
192	Simenon, Georges	The man who watched trains go by	Romano, Marc;;Thin, D.	2005	New York Review Books	New York
193	Bondoux, Anne-Laure	The killer's tears	Maudet, Y.	2006	Delacorte Press	New York
194	Paulhan, Jean	The flowers of Tarbes, or, Terror in literature	Syrotinski, Michael	2006	University of Illinois Press	Urbana, ILL
195	Rosen, Nicolle	Mrs. Freud	NA	2005	Arcade	New York
196	Makine, Andreï	The woman who waited	Strachan, Geoffrey	2006	Arcade	New York
197	Maupassant, Guy de	The horla	Mandell, Charlotte	2005	Melville House Publishing	Hoboken, N.J.
198	Lévy, Justine	Nothing serious	Mandell, Charlotte	2005	Melville House Publishing	Hoboken, N.J.
199	Bernanos, Georges	Mouchette	Whitehouse, J. C.	2006	New York Review Books	New York
200	Philoctète, René	Massacre river	Coverdale, Linda	2005	New Directions	New York
201	Constant, Paule	White spirit	Wing, Betsy	2005	University of Nebraska Press	Lincoln, NEBR
202	Le Franc, Martin	The trial of womankind : a rhyming translation of Book IV of the fifteenth-century Le champion des dames	Taylor, Steven Millen	2005	McFarland & Co.	Jefferson, N.C.
203	Stassen, Jean-Philippe	Deogratias, a tale of Rwanda	Siegel, Alex	2006	First Second	New York
204	Halter, Marek	Zipporah, wife of Moses	NA	2005	Thorndike Press	Waterville, ME
205	Havard, Christian	The wolf, night howler	Uhlig, Elizabeth	2006	Charlesbridge	Watertown, MASS
206	Rozier, Gilles	The Mercy Room	Bell, Anthea	2006	Little, Brown	New York
207	Schneider, Christine	I'm bored!	NA	2006	Clarion Books	New York
208	Vairasse, Denis;;Laursen, John Christian;;Masroori, Cyrus	The history of the Sevarambians : a utopian novel	NA	2006	State University of New York Press	Albany, N.Y.
209	Djébar, Assia	Children of the New World : a novel of the Algerian War	De Jager, Marjolijn	2005	Feminist Press at the City University of New York	New York
210	Guibert, Emmanuel;;Sfar, Joann	Sardine in outer space	Watson, Sasha	2006	First Second	New York
211	Jourdan, Eric	Wicked angels	Armbrecht, Thomas J. D.	2006	Southern Tier Editions;;Harrington Park Press	New York;;New York
212	Breillat, Catherine;;Sotos, Peter;;Khazeni, Dorna	Pornocracy	Buck, Paul;;Petit, Catherine	2005	Semiotext(e)	Los Angeles, CALIF
213	Halter, Marek	Lilah	NA	2006	Crown Publishers	New York
214	Gaudé, Laurent	The house of Scorta	Hawkes, Sophie;;Sartarelli, Stephen	2005	MacAdam/Cage Publishing	San Francisco, CALIF
215	Perec, Georges	A void	Adair, Gilbert	2005	D.R. Godine	Boston, MASS
216	Mokeddem, Malika	Century of locusts	Hamdy, Karim;;Rice, Laura	2006	University of Nebraska Press	Lincoln, NEBR
217	NA	The little prince : book of fun and adventure	Bent, Lucinda Karter	2006	Harcourt	Orlando, FLA
218	Diop, Boubacar Boris	Murambi : the book of bones	McLaughlin, Fiona	2006	Indiana University Press	Bloomington, IND
219	Tzara, Tristan	Chanson Dada : Tristan Tzara, selected poems	Harwood, Lee	2005	Black Widow Press	Boston, MASS
220	Tzara, Tristan	Approximate man & other writings	Caws, Mary Ann	2005	Black Widow Press	Boston, MASS
221	Bachelet, Gilles	My cat, the silliest cat in the world	NA	2006	Abrams Books for Young Readers	New York
222	Derrida, Jacques;;Dutoit, Thomas;;Pasanen, Outi	Sovereignties in question : the poetics of Paul Celan	NA	2005	Fordham University Press	New York
223	Dorner, Françoise	The woman in the row behind	Hunter, Adriana	2005	Other Press	New York
224	Caillois, Roger	Pontius pilate	Markmann, Charles Lam	2006	University of Virginia Press	Charlottesville, VA
225	Labé, Louise	Complete poetry and prose	Baker, Deborah Lesko;;Finch, Annie	2006	University of Chicago Press	Chicago, ILL
